chr	start	end
chr1	175549902	175550136
chr12	22030832	22030936
chr6	170273577	170274455
chr10	4620785	4620890
chr8	5715433	5717156
chr10	58725792	58725978
chr6	152852214	152852531
chr22	34096548	34096911
chr16	50260776	50261125
chr5	9608386	9608767
chr12	23291540	23291833
chr13	28130476	28132900
chr19	179662	180000
chr15	23894419	23895621
chr12	132634507	132635074
chr6	157434382	157434638
chr3	94038551	94039555
chrX	58418178	58418476
chr6	164979801	164980214
chr1	189208097	189208511
chr6	73891242	73891529
chr1	175805501	175806242
chr12	15709903	15718184
chr8	1063430	1064172
chr2	191304514	191304733
chr11	63601045	63601210
chr17	21108383	21108607
chr17	6571239	6571378
chr11	7019736	7020028
chr22	29127131	29128164
chr19	42957564	42957685
chr5	56801717	56802061
chr6	51542594	51542772
chr6	159341915	159342031
chr4	60606181	60606924
chr9	23549095	23549232
chr22	44736048	44736320
chr19	28007973	28008164
chr15	94962176	94962551
chr2	189518264	189518510
chr22	46000714	46001043
chr17	26367026	26368101
chr2	177450404	177452953
chr11	131154219	131168965
chr9	35602538	35602875
chr9	13352871	13353215
chr2	75283042	75283429
chr7	14126742	14127148
chr20	22890762	22891423
chr1	147920476	147920801
chr1	170894183	170894477
chr15	91032972	91033295
chr1	197252404	197252679
chr14	100947278	100947468
chr19	43019913	43021041
chr7	65846367	65846471
chr14	103132668	103133209
chr10	127202026	127203184
chr4	152375764	152376126
chr19	48305784	48305893
chr8	51002189	51003244
chr3	88436301	88436598
chr15	86750208	86754054
chr11	9350937	9354133
chr17	20538499	20538834
chr7	47733586	47733847
chr1	157126851	157127030
chr22	17551996	17552224
chr6	167260469	167261218
chr11	5183422	5184504
chr2	56469832	56470162
chr5	14315683	14315889
chr7	14160355	14160719
chr20	17686225	17686353
chrX	129891971	129893036
chr8	92764967	92769256
chr6	162686871	162687230
chr12	18800992	18801161
chr21	39419122	39422134
chr22	29906160	29907855
chr1	174884959	174885298
chr19	521775	522118
chr4	63281039	63281313
chr20	17835674	17836684
chr4	185051876	185054894
chr14	105604902	105605195
chr7	149909158	149912394
chr19	45027410	45031862
chr17	25503913	25504026
chr1	192565752	192566069
chr2	79469074	79469210
chr4	78595923	78596038
chr15	74445691	74446483
chr15	97407264	97407614
chr1	1523896	1524214
chr12	19271096	19271249
chr7	116205854	116214464
chr8	47650200	47651113
chr3	104003729	104003911
chr3	107451574	107451935
chr20	22396322	22396487
chr9	76080696	76080887
chr5	17104049	17104436
chr1	192651304	192652526
chr17	19839528	19839629
chr5	19065638	19066013
chr2	6136365	6136640
chr6	166673642	166673783
chr7	115453672	115453845
chr7	7045442	7045670
chr3	5720666	5720814
chr14	100946885	100947153
chr8	1085091	1087365
chr9	84569129	84569320
chr5	2765486	2765978
chr16	86493396	86493542
chr3	5411087	5411440
chr10	54553638	54553811
chr6	162438053	162438368
chr14	22668275	22668448
chr1	242567425	242567590
chr1	196978844	196979040
chr12	666196	666708
chr12	17233998	17234242
chr11	7724218	7724778
chr5	27121624	27122329
chr6	158848936	158849307
chr6	71405358	71405704
chr12	19028064	19028206
chr20	5787290	5787447
chr4	79373651	79373757
chr3	102395092	102395762
chr5	20064531	20064745
chr18	48437371	48437550
chr3	90175049	90178295
chr13	51535624	51536060
chr9	74383445	74383959
chr21	47355697	47356004
chr4	155011230	155011373
chr15	20667364	20667671
chr16	50235702	50236058
chr3	5152815	5152956
chr11	130311039	130314138
chr15	70163970	70164706
chr4	191023981	191024341
chr7	52374470	52376855
chr19	59103820	59104008
chr4	156723712	156724055
chr11	57612419	57612624
chr12	127908888	127918756
chr2	82510824	82511082
chr9	69760207	69760341
chr9	140016755	140016872
chr3	7857456	7857712
chr11	129054033	129054561
chr19	42744117	42744478
chr17	28563948	28564152
chr16	31311851	31312100
chr17	14633526	14634325
chr10	126061625	126063028
chr15	22150731	22150903
chr19	55844643	55845804
chr7	47759822	47759955
chr1	198115051	198115227
chr13	54207233	54207573
chr2	109758682	109759157
chr6	45961106	45961431
chr10	53761855	53762207
chr15	94268111	94268278
chr5	54341863	54342332
chr9	78299526	78299686
chr22	44503546	44503621
chr3	95094924	95095037
chr8	43393	43603
chr17	10029188	10029533
chr19	28249616	28249904
chr15	98595812	98596139
chr16	48919434	48919687
chr12	24520805	24522674
chr14	106596318	106596539
chr3	101592460	101592842
chr4	151639747	151641586
chr7	63392945	63398526
chr7	50124596	50128336
chr12	7530058	7530497
chr1	177159620	177159958
chr19	34107487	34107744
chr1	238179053	238179818
chr16	35273831	35273984
chrX	26666662	26666854
chr16	33986685	33986789
chr1	158288293	158288683
chr5	16599327	16599424
chr7	113784493	113785368
chr14	19188309	19189073
chr10	124493115	124493220
chr16	49040674	49041065
chr6	68917993	68919091
chr9	36217858	36218077
chr11	133080333	133080573
chr9	25800755	25800970
chr1	159554692	159555241
chr9	10573844	10581587
chr6	53413363	53414228
chr5	180528717	180528824
chr20	3264725	3265270
chr8	4049128	4049383
chr14	98695464	98695626
chr4	47637995	47638547
chr12	69004	69145
chr1	144617466	144617665
chr12	38496234	38496506
chr11	2119598	2119814
chr9	26127196	26127397
chr12	2940215	2941095
chr16	50577974	50578310
chr19	27769065	27769504
chr3	100293846	100294106
chr19	57476435	57476770
chr7	49380558	49381148
chr1	119955987	119956120
chr4	60435238	60435427
chr20	11696853	11697051
chr6	51249417	51249798
chr4	169347237	169347303
chr8	50593912	50594277
chr4	130694044	130694318
chr15	99687033	99687321
chr8	5122573	5123915
chr6	71475472	71480439
chr2	183991396	183992287
chr9	3192803	3193602
chr1	202531280	202538774
chr10	43111884	43112248
chr11	9009737	9010120
chr3	99078424	99078563
chr11	6634809	6634907
chrX	36879992	36881092
chr12	127220207	127220346
chr8	3805714	3805878
chr3	103835477	103835855
chr15	82570051	82570234
chr8	3247498	3247855
chr19	24153338	24154037
chr12	13975783	13976008
chr12	25173126	25173310
chr21	27947836	27947952
chr14	101560995	101561209
chr1	164296222	164296334
chr11	56289458	56289764
chr8	92829200	92829535
chr17	2903396	2903776
chr21	15151731	15152072
chr1	197287294	197287627
chr15	80496943	80497258
chr15	97876927	97878019
chr2	105826166	105826633
chr16	56758212	56758352
chr3	98076674	98076860
chr2	196131842	196132081
chr8	48170136	48170840
chr7	114081747	114082329
chrX	119657587	119657855
chr19	56087991	56088178
chr8	91868719	91868969
chr2	183224966	183225520
chr6	50200274	50200549
chr11	56955989	56957725
chr3	90254629	90254779
chr22	31134425	31136838
chr4	63166168	63166480
chr21	21268699	21268872
chr19	34460516	34462325
chr6	68285613	68291828
chr16	49235372	49236063
chr1	168106435	168106536
chr10	956843	957205
chr11	1030714	1031151
chr19	58757370	58758088
chr10	4257707	4257843
chr20	11339767	11341050
chr17	19577997	19578251
chr3	104225845	104226122
chr6	170269826	170270107
chr4	75107705	75107811
chr20	9834174	9834422
chr6	54640649	54640947
chr4	188758007	188758588
chr13	53191124	53192230
chr1	236524926	236525285
chr6	72336964	72337082
chr8	50868515	50869252
chr17	5329648	5329850
chr16	86437974	86438508
chr1	183978493	183978744
chr20	1037895	1038254
chr1	184489088	184490582
chr2	198893878	198896826
chr21	32339283	32339632
chr20	20559908	20560043
chr11	9250094	9250394
chr1	145151214	145151564
chr22	46193933	46194290
chr2	79250467	79251009
chr5	13758379	13758521
chr20	14919707	14921460
chr6	70052919	70053074
chr2	55640921	55641269
chr2	75137339	75138632
chr2	101739918	101740086
chr5	22570483	22570590
chr22	35381344	35381874
chr9	14883773	14884887
chr15	98564737	98565955
chr2	83527709	83527858
chr22	35311495	35311903
chr11	3199487	3199714
chr16	34478210	34479034
chr15	82453943	82454216
chr15	25022537	25023120
chr9	21840744	21841010
chr12	24345102	24350068
chr12	13574457	13574687
chr11	9362095	9362421
chr20	19818259	19818513
chr7	46367342	46367404
chr7	63030000	63030570
chr2	78737628	78738121
chr12	11744307	11744512
chr16	313185	313545
chr8	49981367	49982841
chrX	31962324	31963032
chr12	13813919	13814265
chr6	71233928	71234430
chr2	185004946	185005500
chr22	33480374	33480659
chr11	62645162	62645573
chr5	22881572	22881823
chr16	58194221	58194626
chr15	94352202	94352462
chr1	187793023	187793310
chr3	3747970	3748775
chr19	33651344	33651465
chr1	180950585	180950788
chr7	153144127	153144332
chr22	31990648	31990823
chr4	46173582	46173793
chr10	56638378	56638546
chr2	99672935	99673399
chr4	53689427	53689571
chr9	72804019	72805107
chr19	56614625	56614965
chr14	19066489	19066781
chr2	1996863	1997079
chr6	58263968	58264122
chr15	83984123	83984624
chr20	29592978	29594083
chr11	7668746	7668897
chr22	30678224	30678570
chr4	156074081	156074203
chr19	44755069	44759408
chr6	158242005	158242616
chr18	40785137	40785309
chr8	3648493	3648815
chr17	4591332	4591726
chrX	124141950	124142478
chr2	99103682	99106809
chr8	3480327	3480520
chrX	27908033	27908369
chr1	190479891	190479955
chr8	42814267	42814814
chr7	65519758	65520101
chr20	2025984	2026665
chr7	113730885	113731413
chr20	22490501	22490983
chr15	92849560	92854885
chr3	90342929	90343142
chr11	9417700	9417853
chr4	158818624	158818785
chr7	152586386	152586549
chr19	51270321	51270538
chr11	7694562	7694755
chr11	3677211	3677544
chr4	65667523	65667643
chr8	2650997	2651814
chr19	42975379	42975677
chr3	872822	872995
chr20	7019953	7020246
chr14	106380447	106380758
chr17	14354543	14354985
chr1	114164587	114164661
chr7	115534911	115541147
chr7	114888620	114888880
chr15	80321367	80323273
chr6	159572619	159572753
chr22	37685509	37685668
chr9	35786067	35786222
chr11	3914517	3914791
chr1	184275981	184276185
chr3	95604073	95604366
chr12	11003043	11003395
chr13	39253485	39254556
chr4	74682867	74683187
chr7	113912197	113914019
chr21	27216348	27224843
chr8	46978457	46978622
chr6	162376767	162380099
chr21	29116814	29117226
chr7	51569591	51569770
chr4	76979443	76979515
chr1	195069304	195069805
chr7	64317490	64317668
chr8	5408776	5409095
chr14	103684824	103685202
chr1	181521591	181521778
chr16	48765404	48765559
chr4	70122879	70122945
chr12	132146868	132147065
chr9	3064524	3065839
chr7	114494634	114494876
chr17	13965840	13971611
chr12	16519935	16520067
chr8	2273942	2274067
chr16	34514003	34514173
chr5	9246087	9246400
chr5	53256310	53258781
chr5	53881661	53881982
chr4	131025132	131025345
chr17	3745060	3746252
chr20	6921232	6921577
chr22	32534139	32534301
chr6	165940714	165941066
chr8	47951797	47951854
chr2	175893400	175898736
chr7	149843843	149844152
chr9	41798506	41798660
chr15	74465935	74466112
chr19	48481247	48481397
chr2	208316663	208317621
chr15	80258572	80258947
chr14	102781174	102781525
chr2	101931667	101932790
chr1	165445631	165445990
chr2	101200587	101201352
chr15	81739954	81740188
chr14	99319878	99320343
chr2	193523180	193524140
chr1	156430876	156431244
chr1	197387966	197388308
chr3	88403051	88403721
chr1	245566940	245568510
chr19	42201787	42202186
chr5	1587277	1587705
chr1	241635587	241635775
chr19	42774216	42774597
chr10	3013063	3013376
chr8	47972650	47973159
chr13	31025178	31025396
chr5	24827950	24828275
chr3	103190758	103191167
chr9	13490812	13491075
chr11	295931	296269
chr3	599877	600084
chr16	50188095	50189475
chr16	34200243	34200577
chr8	92857031	92857411
chr5	56452265	56452402
chr2	199353533	199353665
chr10	53670111	53670184
chr15	22007989	22008762
chr21	37319638	37319839
chr3	107438268	107438698
chr8	741285	741655
chr1	187373233	187373590
chr3	100736520	100736682
chr2	104535838	104536749
chr1	236968724	236969086
chr5	58779682	58779893
chr19	33055034	33055326
chr10	134928263	134928460
chr21	22566299	22566594
chr10	38624192	38624421
chr1	195389123	195406404
chr20	7432000	7432790
chr6	163189958	163190149
chr5	53013593	53018398
chr8	3775159	3775293
chr7	150760986	150761337
chr7	63083946	63090682
chr19	58625929	58626454
chr2	199850530	199850687
chr1	194118761	194119111
chr15	23174335	23174591
chr16	802905	803685
chr22	36170083	36170175
chr16	57290220	57290508
chr19	33123816	33123954
chr16	86539037	86539137
chr18	75828915	75830151
chr2	117282158	117282372
chrX	99387273	99387668
chr10	121466302	121474125
chr22	28341185	28342182
chr20	16582542	16582701
chr11	5957661	5957730
chr10	131578076	131578158
chr5	51010405	51010592
chr12	22898117	22899079
chr13	35256009	35256116
chr19	28435263	28435455
chr18	69502214	69502382
chr12	24213525	24214092
chr2	99180575	99180789
chr5	7365474	7366689
chr9	3472513	3472767
chr20	13232651	13232967
chr9	9322304	9327677
chr2	73785780	73789264
chr1	195779324	195779491
chr17	18329142	18329647
chr21	30913214	30913737
chr9	68462078	68462413
chr6	53778262	53778501
chr1	162983693	162983879
chr18	4291886	4292106
chr2	55522650	55522821
chr10	123345261	123348744
chr3	106371887	106372217
chr7	14250491	14250709
chr10	56280329	56280901
chr1	188848221	188848748
chr19	29128776	29129227
chr10	133433874	133434222
chr4	48493036	48493260
chr1	117292984	117293096
chr16	31058179	31058368
chr6	46824313	46824816
chr5	9424020	9424603
chr17	6207023	6207868
chr5	26698128	26698277
chr1	186169911	186170122
chr17	5643555	5644743
chr5	44640668	44641061
chr8	3779708	3781276
chr14	98006624	98006934
chr10	124545278	124545603
chr5	51674347	51674810
chr8	401512	401621
chr1	193001703	193002038
chr1	188636179	188636503
chr14	20262121	20262483
chr11	5070908	5071126
chr3	7792080	7792795
chr17	13344941	13345275
chr21	36827972	36828528
chr19	52058957	52059366
chr19	58821734	58822121
chr6	54521198	54521721
chr1	118987547	118988261
chr19	34114238	34114920
chr7	64486039	64486599
chr12	21918818	21919129
chr18	6796694	6796916
chr19	43293803	43294706
chr22	35084444	35084602
chr7	149764187	149764728
chr9	75224569	75224914
chr9	76005142	76005513
chr6	153088674	153089196
chr2	200983517	200983657
chr16	57574447	57575622
chr10	123659489	123659724
chr21	28289062	28289364
chr14	22373920	22374066
chr13	54941383	54941534
chr14	103145478	103145724
chr11	61088010	61088134
chr21	37767383	37767813
chr7	50112611	50115322
chr15	82816569	82816926
chr4	68016722	68016946
chr22	39991101	39991255
chr20	1003712	1003828
chr15	81723613	81723956
chr2	101903029	101903241
chr1	236468293	236468563
chr2	189192679	189193545
chr12	125105781	125106032
chr1	121097824	121098137
chr1	185410653	185410959
chr10	128949386	128949572
chr3	4993943	4994223
chr7	152316381	152316684
chr1	120112723	120113066
chr10	134809246	134810156
chr1	188980955	188981583
chr20	20133427	20133765
chr3	89783690	89784832
chr11	125309541	125310675
chr19	150633	153710
chr14	107179791	107179993
chr14	104767696	104767826
chr7	50046895	50047109
chr10	125189817	125190338
chr10	129555526	129556259
chr7	50156826	50157180
chr19	44669109	44670300
chr3	99758174	99758504
chr6	53024429	53024658
chr3	96014065	96014752
chr10	132530626	132531664
chr20	7744956	7745296
chr18	44797173	44797385
chr5	49708215	49708646
chr1	167823688	167824279
chr16	34911327	34911604
chr9	10313126	10313295
chr12	25449882	25450112
chr6	156433919	156434063
chr3	9567438	9567573
chr9	26773639	26773730
chr2	207832859	207834281
chr12	17745735	17747784
chr2	183177716	183185543
chr3	100341806	100342218
chr13	28339876	28340838
chr18	41183406	41183688
chr3	7436363	7436497
chr21	25956805	25957281
chr7	14853226	14853550
chr4	168839366	168839443
chr17	12700294	12700640
chr7	48299937	48300232
chr3	961335	961454
chr15	82490437	82490564
chr1	243846293	243847058
chr2	199574437	199574829
chr6	164447347	164447629
chr2	195022002	195022269
chr8	92433668	92433804
chr12	16096341	16097386
chr16	57104525	57104845
chr1	168170804	168171062
chr6	164718881	164719110
chr1	178117718	178117930
chr4	168925953	168926129
chr16	31077308	31077697
chr7	485663	486011
chr14	103344270	103344425
chr1	175827439	175827594
chr19	51752229	51752607
chr21	40100031	40100412
chr15	81407751	81408274
chr1	189932959	189933302
chr5	6197939	6198161
chr17	5365588	5365692
chr11	48331806	48332144
chr16	89697158	89697332
chr11	131798643	131798833
chr13	39844626	39844780
chr16	87662608	87662923
chr22	30139825	30140762
chr15	68398702	68399064
chr12	25717060	25717578
chrX	10711554	10711827
chr20	19649865	19651008
chr13	49096484	49096625
chr9	77952033	77952393
chr2	193157159	193164940
chr1	241727405	241727748
chr13	30862675	30862860
chr6	162285654	162285975
chr6	71561054	71561141
chr3	89190130	89190463
chr1	235646040	235646152
chr17	26574037	26574581
chr4	59704293	59704505
chr2	72342265	72342508
chr15	87008032	87008329
chr13	57379603	57380107
chr17	4618240	4621247
chr1	185961127	185961876
chr19	57517969	57518128
chr2	199689178	199689335
chr15	92450026	92450930
chr20	8238040	8238306
chr16	86432456	86433029
chr1	242022778	242023009
chr1	121220260	121220532
chr1	238263704	238265494
chr5	52524668	52525411
chr4	150787056	150787173
chr19	33944005	33944371
chr10	45526338	45526539
chr17	16362608	16362795
chr20	14558941	14559307
chr1	180516237	180516353
chr14	21721361	21721595
chr3	95987067	95987277
chr3	101769146	101769506
chr13	28990626	28990951
chr17	12231734	12231845
chr8	4513560	4543559
chr2	7030930	7032562
chr22	39680639	39681063
chr15	94818210	94818874
chr5	51882349	51882609
chr18	65506338	65506540
chr16	30347230	30348631
chr7	45699687	45699932
chr7	150173312	150176044
chr6	72582145	72582459
chr12	20594376	20594766
chr8	92618107	92618415
chr21	45454928	45455567
chr17	8634946	8635185
chr11	56930038	56930179
chr11	130639067	130639182
chr2	204078708	204081445
chr16	89035992	89036300
chr22	34526575	34526742
chr2	107889459	107889579
chr10	48715928	48716347
chr7	48024031	48024138
chr9	44187916	44188249
chr18	53032880	53033017
chr2	201423739	201423848
chr1	193901698	193901935
chr1	178191452	178191798
chr19	55408819	55408977
chr22	36890599	36890752
chr1	1513793	1514827
chr7	51672939	51673123
chr19	24223101	24223401
chr7	116025834	116026119
chr2	204799834	204800602
chr3	549881	550314
chrX	41041417	41041647
chr5	13289199	13289419
chr7	63535557	63543085
chr16	1468196	1468492
chr1	164489607	164489796
chr11	5786262	5786879
chrX	140978292	140978713
chr1	169634787	169635952
chr16	46513722	46513840
chr1	202799501	202799842
chr19	70108	70194
chr2	73530749	73530923
chr15	22777791	22778789
chr10	123029593	123029889
chr12	132405900	132406035
chr6	158272971	158273358
chr12	10816187	10818092
chr1	202615784	202616321
chrX	29895207	29895752
chr10	3550787	3550991
chr7	52676476	52676822
chr7	153550384	153551686
chr12	10463128	10463567
chr8	92726882	92726991
chr1	161309087	161309228
chr7	47603447	47603870
chr15	100394711	100395520
chr3	4258124	4258506
chr8	48900808	48906879
chr4	130553205	130553497
chr8	50948122	50948234
chr4	152883613	152884067
chr16	35233472	35234075
chr17	15022327	15023054
chr7	152897156	152897412
chr5	56641207	56641322
chr7	64252082	64252495
chr15	100117727	100117828
chr2	118692568	118692892
chr16	1393440	1393519
chr19	56144553	56144869
chrX	4745152	4745239
chr4	186831376	186831716
chr8	1058732	1058868
chr3	351891	352207
chr19	662554	662790
chr5	55647393	55647721
chr11	63239401	63240383
chr10	121796839	121797111
chr11	132371082	132371545
chr11	134057056	134057297
chr20	11173275	11173615
chr1	147437288	147437599
chr7	150528353	150529249
chr9	8833079	8833259
chr20	13767046	13767384
chr1	190927716	190927972
chr22	31393969	31394307
chr11	6548361	6548522
chr4	41721588	41721728
chr1	237067975	237068304
chr9	43074145	43074416
chr6	165407955	165408050
chr2	97119614	97119780
chr1	197340820	197340984
chr19	27829332	27829713
chr14	21951169	21951541
chr9	39266741	39267407
chr11	7251674	7251807
chr16	86415750	86416086
chr6	54230208	54240190
chr2	78896345	78897086
chr21	38173498	38173863
chr5	20385733	20385860
chr20	5923885	5925483
chr3	104420939	104421258
chr4	141541528	141542290
chr10	121516179	121516291
chr18	45327495	45327850
chr7	62278258	62278790
chr7	47862165	47862870
chr1	202211749	202211980
chr3	88370612	88373317
chr11	61085832	61086153
chr12	10841516	10851845
chr3	963000	963926
chr14	101684981	101685381
chr3	94518630	94519652
chr17	12179058	12179361
chr9	10909217	10909549
chr12	130437015	130437377
chr15	81856084	81856342
chrX	98128536	98128810
chr16	57170886	57171702
chr8	2975477	2976260
chr19	48607921	48608798
chr15	26119902	26120232
chr20	6732239	6732412
chr15	87261880	87264414
chr7	114814538	114814736
chr13	22059360	22059637
chr2	193675499	193675709
chr8	47868326	47868542
chr2	5845069	5850547
chr2	176340062	176340992
chr22	46285971	46286253
chr8	3534492	3535126
chr10	4192151	4196730
chr16	46454664	46468744
chr16	34575525	34575825
chr20	6254968	6255695
chr19	23921279	23921642
chr10	38936783	38937002
chr13	37959288	37959830
chr18	22737251	22737687
chrX	68938753	68939178
chr6	156610204	156611086
chr22	31206895	31207413
chr16	85907681	85907781
chr12	127728440	127730112
chr11	126050538	126050825
chr5	49962550	49962753
chrX	40251054	40251501
chr8	1392315	1393423
chr6	47250556	47251124
chr14	104524387	104525253
chr12	38366581	38367307
chr14	103424353	103424549
chr18	14487921	14488048
chrX	69533911	69534627
chr6	163502418	163503665
chr18	26552618	26552778
chr9	69070187	69070474
chr5	54881582	54881842
chr14	22562716	22563044
chr2	83966772	83967973
chr18	24995084	24995265
chr2	208205236	208205472
chr8	3358811	3358908
chr1	175442380	175442699
chr15	26102494	26102897
chr5	60331421	60331775
chr21	21902789	21903355
chr5	44578533	44578891
chr21	32183169	32183532
chr1	197608544	197609649
chr2	207849683	207849918
chr18	75596607	75597380
chr18	26615366	26615639
chr15	86194221	86194780
chr4	4328501	4328682
chr21	36990049	36990278
chr8	5813272	5813561
chr3	89658196	89658478
chr14	102571686	102571944
chrX	15556188	15556547
chr5	20538260	20538390
chr2	199707764	199708354
chr10	55049110	55053995
chr22	29537936	29538268
chr19	33053862	33057132
chr9	15957203	15957338
chr1	116048579	116048729
chr7	481625	481893
chr17	6068752	6068993
chr16	48584098	48584258
chr21	38465952	38469441
chr6	153449891	153450016
chr10	122475809	122476305
chr1	2306095	2306665
chr6	54182440	54183320
chr1	195794733	195795095
chr11	361325	362126
chr9	77962095	77962773
chr18	30349144	30349265
chr2	117071089	117071334
chr2	86404616	86404742
chr7	7205047	7205251
chr10	54619630	54619864
chr17	4177060	4182955
chr9	33009886	33010045
chr4	167095165	167095846
chr10	125466924	125467047
chr3	4469864	4470029
chr8	48374499	48374829
chr1	237667296	237667543
chr10	127279741	127279969
chr12	131402447	131402536
chr1	143761403	143763205
chr18	43677613	43678240
chr8	50577433	50577700
chr7	65377957	65378149
chr2	76262331	76262435
chr1	189678200	189678567
chr7	63960911	63961025
chr9	20678542	20678981
chr14	19362349	19362479
chr8	5583239	5583578
chr12	19236579	19237272
chr19	48395073	48397908
chr12	25291738	25292196
chr6	677467	677679
chrX	100410343	100411013
chr17	14238393	14238541
chr2	177336581	177336946
chr9	41989718	41989817
chr10	127647292	127647570
chr17	9596072	9596433
chr16	49414981	49418928
chr1	187674365	187675433
chr7	63011231	63011596
chr17	12668833	12669207
chr6	155909920	155910104
chr7	64057476	64058562
chr20	4969511	4970023
chr6	58456772	58457151
chr1	70192	70404
chr14	101422504	101422746
chr2	82065727	82066152
chr5	49939072	49939286
chrX	63170926	63170983
chr1	182551157	182551410
chr1	196989577	196990179
chr1	243225612	243225849
chr2	193257052	193257320
chr22	26081125	26082172
chr1	144222399	144222801
chr12	4816027	4816349
chr7	13433226	13433578
chr20	26090675	26090860
chr1	237473834	237473944
chr3	8182423	8182739
chr12	23901477	23901571
chr16	84396279	84396776
chr13	31926446	31926571
chr8	43554332	43554679
chr1	157772498	157775746
chr1	147545314	147545486
chr14	100042440	100042974
chr17	794434	794668
chr17	11241463	11243722
chr9	85038565	85038922
chr8	92621640	92621753
chr3	104270684	104271051
chr3	102623511	102623647
chr13	40786044	40786153
chr16	34281906	34282833
chr17	15130236	15130573
chr1	202051678	202051849
chr7	65915364	65915561
chr7	48933652	48934266
chr16	31185924	31186216
chr10	46939200	46939295
chr1	191824596	191825632
chr1	119323399	119324506
chr2	85336817	85337449
chr10	49417451	49417670
chr1	244594189	244594845
chr15	97040111	97040402
chr19	57414094	57414470
chr6	52773304	52773446
chr1	175675750	175676051
chr20	22895486	22895839
chr3	7922823	7923126
chr19	34232918	34233296
chr7	13375523	13382625
chr15	25098898	25104171
chr3	97191889	97192288
chr14	23038249	23038411
chr8	581561	581895
chr19	51981359	51981655
chr1	178740941	178741114
chr6	46832992	46833333
chr7	114222254	114227672
chr7	51732835	51733368
chr16	49722408	49722673
chr2	190140767	190141376
chr15	94095099	94095542
chr6	51955508	51955644
chrX	70706127	70706467
chr4	147617164	147617343
chr13	29189272	29189660
chr5	25695200	25696797
chr9	11919895	11920083
chr7	47665662	47666716
chr8	5137576	5138777
chr19	42823220	42823432
chr7	51507123	51507629
chr19	52977995	52978343
chr4	162172289	162172547
chr1	183527664	183527842
chr11	56743019	56743187
chr2	110101346	110101562
chr1	190953289	190953982
chr9	139376158	139376359
chr5	24252855	24253909
chr3	9671991	9672208
chr16	86632246	86632579
chr12	126761305	126761794
chr3	105798349	105798544
chr2	81143984	81145285
chr12	5024758	5024901
chr2	206383355	206383904
chr7	46126281	46136681
chr6	52627839	52628167
chr4	154113848	154114075
