eccid	chr_hg19	start_hg19	end_hg19	tissue
ecc420824	chr20	49677601	61455200	Breast
ecc420826	chr20	61968401	62931600	Breast cancer/Brain Met
ecc420834	chr3	111273685	111284085	Brain
ecc420841	chr5	45065401	45955000	Lung cancer/Brain Met
ecc420851	chr6	105615001	107959000	Breast cancer/Brain Met
ecc420852	chr6	109992001	111555000	Breast cancer/Brain Met
ecc420853	chr6	114327001	117823000	Breast cancer/Brain Met
ecc420854	chr6	119548709	119559109	Breast cancer/Brain Met
ecc420856	chr7	835201	946800	Colon
ecc420862	chr7	54941301	55331900	Brain
ecc420869	chr7	157938201	158138000	Breast
ecc420870	chr8	36497001	38142000	Breast cancer/Brain Met
ecc420892	chr8	127479001	131790000	Brain
ecc420921	chr9	36171001	36372000	Breast cancer/Brain Met
ecc592521	chr1	78748084	78748614	Brain
ecc592522	chr1	78748090	78748614	Brain
ecc592523	chr1	78748126	78748609	Brain
ecc592524	chr1	148175322	148195932	Brain
ecc592525	chr1	148175386	148295895	Brain
ecc592526	chr1	153280226	185860842	Brain
ecc592527	chr1	154210485	154211045	Brain
ecc592528	chr1	203177968	204957662	Brain
ecc592529	chr1	203360625	204898652	Brain
ecc592530	chr1	209751070	222324873	Brain
ecc592531	chr1	224238062	224822794	Brain
ecc592532	chr1	238182639	238183163	Brain
ecc592533	chr10	484053	31076181	Brain
ecc592534	chr10	22460044	29188375	Brain
ecc592537	chr11	26795187	43284531	Brain
ecc592538	chr11	77902914	119760408	Brain
ecc592539	chr11	93361756	93362286	Brain
ecc592540	chr11	93361763	93362287	Brain
ecc592541	chr11	93361795	93362278	Brain
ecc592542	chr11	93361810	93362282	Brain
ecc592544	chr12	3573149	53227596	Brain
ecc592545	chr12	4282258	4876809	Brain
ecc592546	chr12	9560850	11604481	Brain
ecc592547	chr12	9743798	9778217	Brain
ecc592548	chr12	22946040	58416791	Brain
ecc592549	chr12	30529733	30530238	Brain
ecc592550	chr12	30529734	30530238	Brain
ecc592551	chr12	30529764	30530238	Brain
ecc592552	chr12	30529773	30530238	Brain
ecc592553	chr12	49333985	84231085	Brain
ecc592554	chr12	50194461	99767466	Brain
ecc592555	chr12	50368739	51209733	Brain
ecc592556	chr12	50449904	70629864	Brain
ecc592557	chr12	51670201	52642673	Brain
ecc592558	chr12	56837603	76223049	Brain
ecc592559	chr12	57209160	58725448	Brain
ecc592560	chr12	57399247	58562513	Brain
ecc592561	chr12	57409417	58562513	Brain
ecc592562	chr12	57496686	58315685	Brain
ecc592563	chr12	57496689	58315685	Brain
ecc592564	chr12	57496694	58315685	Brain
ecc592565	chr12	57496714	58315685	Brain
ecc592566	chr12	57496724	58315685	Brain
ecc592567	chr12	57502937	58562513	Brain
ecc592568	chr12	57503737	58357571	Brain
ecc592569	chr12	57503752	58562513	Brain
ecc592570	chr12	57527651	58285794	Brain
ecc592571	chr12	57699728	64487930	Brain
ecc592572	chr12	57795337	72184414	Brain
ecc592573	chr12	57802773	58628188	Brain
ecc592574	chr12	57802773	58628883	Brain
ecc592575	chr12	57817510	58780431	Brain
ecc592576	chr12	57920204	58962354	Brain
ecc592577	chr12	57920205	58672862	Brain
ecc592578	chr12	57920218	58962354	Brain
ecc592579	chr12	57920237	58962354	Brain
ecc592580	chr12	57920245	58669861	Brain
ecc592581	chr12	58030230	58278722	Brain
ecc592582	chr12	58731394	58962354	Brain
ecc592583	chr12	58731395	58962354	Brain
ecc592584	chr12	59233812	60099303	Brain
ecc592585	chr12	59234812	60099303	Brain
ecc592586	chr12	59589390	59862924	Brain
ecc592587	chr12	60627354	61180648	Brain
ecc592588	chr12	60627354	61180657	Brain
ecc592589	chr12	60627354	61180674	Brain
ecc592590	chr12	60627354	61180686	Brain
ecc592591	chr12	60627354	61180687	Brain
ecc592592	chr12	61166617	61688013	Brain
ecc592593	chr12	61166630	61688013	Brain
ecc592594	chr12	62450034	62660568	Brain
ecc592595	chr12	62674966	62695439	Brain
ecc592596	chr12	63199780	63200314	Brain
ecc592597	chr12	64090187	64424120	Brain
ecc592598	chr12	64406148	64811726	Brain
ecc592599	chr12	65415047	65738486	Brain
ecc592600	chr12	65892578	65893112	Brain
ecc592601	chr12	66478328	66795950	Brain
ecc592602	chr12	66478328	66810483	Brain
ecc592603	chr12	66886366	67157415	Brain
ecc592604	chr12	66886367	67158548	Brain
ecc592605	chr12	66886379	67158536	Brain
ecc592606	chr12	66886397	67157415	Brain
ecc592607	chr12	66886406	67157415	Brain
ecc592608	chr12	68410054	68646416	Brain
ecc592609	chr12	68920860	70279998	Brain
ecc592610	chr12	68932602	69413066	Brain
ecc592611	chr12	68932602	69413075	Brain
ecc592612	chr12	68932602	69413093	Brain
ecc592613	chr12	68932602	69417042	Brain
ecc592614	chr12	70478646	70774110	Brain
ecc592615	chr12	70496679	70497179	Brain
ecc592616	chr12	70496679	70497181	Brain
ecc592617	chr12	73584312	74472853	Brain
ecc592618	chr12	73584313	74472853	Brain
ecc592619	chr12	73584325	74472853	Brain
ecc592620	chr12	73584343	74472853	Brain
ecc592621	chr12	73584352	74472853	Brain
ecc592622	chr12	76688945	76709436	Brain
ecc592623	chr12	92833733	92835733	Brain
ecc592624	chr12	96333950	96427875	Brain
ecc592625	chr12	114042493	114782434	Brain
ecc592626	chr13	32973920	32974175	Brain
ecc592627	chr13	32973970	32974176	Brain
ecc592628	chr13	88380423	88381059	Brain
ecc592629	chr13	103406098	112969310	Brain
ecc592630	chr13	103498984	103836012	Brain
ecc592631	chr13	112590637	112830828	Brain
ecc592632	chr14	39544383	53726529	Brain
ecc592633	chr14	85941092	98642754	Brain
ecc592634	chr14	96897075	96897580	Brain
ecc592635	chr14	96897077	96897581	Brain
ecc592636	chr14	96897087	96897579	Brain
ecc592637	chr14	96897107	96897581	Brain
ecc592638	chr14	96897116	96897581	Brain
ecc592639	chr15	50377640	50378173	Brain
ecc592640	chr15	50377642	50378172	Brain
ecc592641	chr15	50377651	50398160	Brain
ecc592642	chr15	50377663	50378167	Brain
ecc592643	chr15	59880274	59880808	Brain
ecc592644	chr15	72966648	74751792	Brain
ecc592645	chr16	50534123	58666050	Brain
ecc592646	chr17	28657133	73678584	Brain
ecc592647	chr17	30138299	74067386	Brain
ecc592648	chr18	55431412	55431877	Brain
ecc592650	chr19	9986479	40171599	Brain
ecc592651	chr2	39328	6675962	Brain
ecc592652	chr2	86857	24146223	Brain
ecc592654	chr2	4777131	7339409	Brain
ecc592655	chr2	4813976	5114749	Brain
ecc592656	chr2	5130682	5491387	Brain
ecc592657	chr2	5844046	6092517	Brain
ecc592658	chr2	6811404	7056157	Brain
ecc592659	chr2	6811427	7056157	Brain
ecc592660	chr2	6811742	7061780	Brain
ecc592661	chr2	7006555	8947620	Brain
ecc592662	chr2	7047972	7305114	Brain
ecc592663	chr2	7165696	18283381	Brain
ecc592664	chr2	9115317	9396958	Brain
ecc592665	chr2	12471634	12820977	Brain
ecc592666	chr2	14740024	21892972	Brain
ecc592667	chr2	14930877	15241168	Brain
ecc592668	chr2	14930877	16607368	Brain
ecc592669	chr2	14930877	16609687	Brain
ecc592671	chr2	15586615	16607368	Brain
ecc592672	chr2	15779202	16720742	Brain
ecc592673	chr2	15850065	17100340	Brain
ecc592674	chr2	22803129	23710448	Brain
ecc592675	chr2	24976652	25251094	Brain
ecc592676	chr2	25431975	25432494	Brain
ecc592677	chr2	25431975	25452474	Brain
ecc592678	chr2	25431989	25432491	Brain
ecc592679	chr2	25432017	25432497	Brain
ecc592680	chr2	44698988	44719489	Brain
ecc592681	chr2	44699004	44719503	Brain
ecc592682	chr2	44699024	44699501	Brain
ecc592683	chr2	70700509	70701027	Brain
ecc592684	chr2	70700526	70701027	Brain
ecc592685	chr2	70700527	70701026	Brain
ecc592686	chr2	70700543	70701020	Brain
ecc592687	chr2	88274596	88295113	Brain
ecc592688	chr2	88274599	88295075	Brain
ecc592689	chr2	88294192	88294693	Brain
ecc592690	chr2	88294194	88294693	Brain
ecc592691	chr2	117784681	118114666	Brain
ecc592692	chr2	131709830	161675466	Brain
ecc592693	chr2	136721093	137773677	Brain
ecc592694	chr2	136869536	137939536	Brain
ecc592695	chr2	136874997	137798352	Brain
ecc592696	chr2	136874997	137880739	Brain
ecc592697	chr2	143413933	143414139	Brain
ecc592698	chr2	145245907	145748806	Brain
ecc592699	chr2	145249705	145743220	Brain
ecc592700	chr2	145263828	145743220	Brain
ecc592701	chr2	145272882	145772117	Brain
ecc592702	chr2	153212545	153453279	Brain
ecc592703	chr2	153212545	153453318	Brain
ecc592704	chr2	153212545	153454678	Brain
ecc592705	chr2	153212545	153454687	Brain
ecc592706	chr2	156427797	156528071	Brain
ecc592707	chr2	156527854	156528081	Brain
ecc592708	chr2	170029734	172038781	Brain
ecc592709	chr2	170029734	172448527	Brain
ecc592710	chr2	170116857	172249767	Brain
ecc592711	chr2	170459734	172089734	Brain
ecc592712	chr2	186422091	189603225	Brain
ecc592713	chr2	206666463	206877006	Brain
ecc592714	chr2	206666463	206877027	Brain
ecc592715	chr2	206666463	206877029	Brain
ecc592716	chr2	206666463	206877046	Brain
ecc592717	chr20	25648370	25848861	Brain
ecc592718	chr20	25729296	25749801	Brain
ecc592719	chr20	25748289	25782127	Brain
ecc592720	chr20	25762035	25862539	Brain
ecc592721	chr20	25762637	25863111	Brain
ecc592722	chr20	25968409	26168913	Brain
ecc592723	chr20	26035162	26075703	Brain
ecc592724	chr20	26035500	26088579	Brain
ecc592725	chr20	26053723	26074197	Brain
ecc592726	chr20	54188564	54189088	Brain
ecc592727	chr20	54188605	54189088	Brain
ecc592728	chr21	15706512	35730017	Brain
ecc592729	chr21	23357595	23358085	Brain
ecc592730	chr3	2482442	25397283	Brain
ecc592732	chr3	11716211	11716729	Brain
ecc592733	chr3	11716232	11716765	Brain
ecc592734	chr3	11716236	11716766	Brain
ecc592735	chr3	11716256	11716765	Brain
ecc592736	chr3	11716261	11716764	Brain
ecc592737	chr3	11716263	11716767	Brain
ecc592738	chr3	11716264	11716766	Brain
ecc592739	chr3	11716267	11716767	Brain
ecc592740	chr3	11716269	11716767	Brain
ecc592741	chr3	11716277	11716767	Brain
ecc592742	chr3	11716283	11716766	Brain
ecc592743	chr3	21782468	36351260	Brain
ecc592745	chr3	96529098	104945051	Brain
ecc592746	chr3	98554714	98555274	Brain
ecc592747	chr3	111174081	111274570	Brain
ecc592748	chr3	111174081	111274578	Brain
ecc592749	chr3	111174081	111274583	Brain
ecc592750	chr3	111174081	111384563	Brain
ecc592751	chr3	111174081	111384604	Brain
ecc592752	chr3	111174084	111384613	Brain
ecc592754	chr3	135235750	183285802	Brain
ecc592755	chr4	34451476	34472017	Brain
ecc592757	chr4	45952358	75331734	Brain
ecc592759	chr4	52430888	72092469	Brain
ecc592760	chr4	52541825	63686801	Brain
ecc592761	chr4	52638005	58799316	Brain
ecc592762	chr4	52929563	56280195	Brain
ecc592763	chr4	52929563	57553596	Brain
ecc592764	chr4	53295126	56281355	Brain
ecc592765	chr4	53878761	55263940	Brain
ecc592766	chr4	54103488	69737176	Brain
ecc592767	chr4	54237924	55762119	Brain
ecc592768	chr4	54345291	55107618	Brain
ecc592769	chr4	54358761	55263940	Brain
ecc592770	chr4	54490556	55657618	Brain
ecc592771	chr4	54580852	69573081	Brain
ecc592772	chr4	55629356	55629856	Brain
ecc592773	chr4	69317426	70290264	Brain
ecc592774	chr4	77827099	106090623	Brain
ecc592775	chr4	91554454	92048961	Brain
ecc592776	chr4	95518229	95518733	Brain
ecc592777	chr4	95518243	95518748	Brain
ecc592778	chr4	95518257	95518749	Brain
ecc592779	chr4	95518271	95518745	Brain
ecc592780	chr4	95518281	95518746	Brain
ecc592781	chr4	129319969	129320470	Brain
ecc592782	chr4	131667813	132069505	Brain
ecc592783	chr4	149373413	180504252	Brain
ecc592784	chr4	190921886	190942399	Brain
ecc592785	chr5	839964	1421477	Brain
ecc592786	chr5	904577	45228815	Brain
ecc592787	chr5	57853483	57853983	Brain
ecc592788	chr5	57853485	57853983	Brain
ecc592789	chr5	57853493	57853983	Brain
ecc592790	chr5	58968187	58988720	Brain
ecc592791	chr5	75465486	75465990	Brain
ecc592792	chr5	75465495	75465987	Brain
ecc592793	chr5	75465515	75465989	Brain
ecc592794	chr5	75465525	75465990	Brain
ecc592795	chr6	65543182	69393270	Brain
ecc592796	chr6	100688972	100689472	Brain
ecc592797	chr6	107079743	107100239	Brain
ecc592798	chr6	110042384	110043384	Brain
ecc592799	chr6	116015514	116016011	Brain
ecc592800	chr6	145756652	145757144	Brain
ecc592801	chr6	158951116	158951649	Brain
ecc592803	chr7	5786928	5787428	Brain
ecc592804	chr7	8979968	11367047	Brain
ecc592806	chr7	10826575	11146199	Brain
ecc592807	chr7	13441675	57540679	Brain
ecc592810	chr7	15067750	57957845	Brain
ecc592811	chr7	15190151	57957845	Brain
ecc592812	chr7	15191151	57260799	Brain
ecc592813	chr7	15399102	57957845	Brain
ecc592816	chr7	26104388	26834700	Brain
ecc592817	chr7	26484596	26911919	Brain
ecc592818	chr7	27031576	27389989	Brain
ecc592819	chr7	33008879	33043572	Brain
ecc592820	chr7	33019431	33040041	Brain
ecc592821	chr7	36089270	37387055	Brain
ecc592822	chr7	39560532	39931064	Brain
ecc592823	chr7	39893002	39923938	Brain
ecc592824	chr7	40425979	55700004	Brain
ecc592827	chr7	44005669	45019578	Brain
ecc592829	chr7	47087994	55897454	Brain
ecc592830	chr7	49880025	56131900	Brain
ecc592831	chr7	51716229	94071360	Brain
ecc592832	chr7	52176931	52490663	Brain
ecc592833	chr7	52176931	52600663	Brain
ecc592835	chr7	53188059	57202187	Brain
ecc592836	chr7	53425123	57630930	Brain
ecc592837	chr7	53437686	57065330	Brain
ecc592838	chr7	53500000	56131900	Brain
ecc592839	chr7	53656766	55777221	Brain
ecc592840	chr7	53769003	56569035	Brain
ecc592841	chr7	54034474	63305857	Brain
ecc592842	chr7	54121355	56593687	Brain
ecc592843	chr7	54175400	55741898	Brain
ecc592844	chr7	54215158	55657741	Brain
ecc592845	chr7	54329983	55487522	Brain
ecc592846	chr7	54353143	55836198	Brain
ecc592847	chr7	54365673	56353955	Brain
ecc592848	chr7	54410859	55849500	Brain
ecc592849	chr7	54418230	55605350	Brain
ecc592850	chr7	54492203	55717667	Brain
ecc592851	chr7	54569593	54770057	Brain
ecc592852	chr7	54623991	55309565	Brain
ecc592853	chr7	54649106	55477598	Brain
ecc592854	chr7	54690674	55440187	Brain
ecc592855	chr7	54699492	55738434	Brain
ecc592856	chr7	54706136	55607505	Brain
ecc592857	chr7	54728544	55629913	Brain
ecc592858	chr7	54729139	55479139	Brain
ecc592859	chr7	54729876	55631246	Brain
ecc592860	chr7	54733063	55408485	Brain
ecc592861	chr7	54766766	55777221	Brain
ecc592862	chr7	54786492	55477598	Brain
ecc592863	chr7	54791261	55738434	Brain
ecc592864	chr7	54793202	55548745	Brain
ecc592865	chr7	54796492	55548745	Brain
ecc592866	chr7	54809106	55477598	Brain
ecc592867	chr7	54828704	55334339	Brain
ecc592868	chr7	54829291	55541765	Brain
ecc592869	chr7	57477299	57497832	Brain
ecc592870	chr7	57477300	57497860	Brain
ecc592871	chr7	57477358	57477869	Brain
ecc592872	chr7	63635311	63635852	Brain
ecc592873	chr7	63668115	65540917	Brain
ecc592876	chr7	64465662	66614306	Brain
ecc592877	chr7	65160990	65393245	Brain
ecc592878	chr7	65160992	65361551	Brain
ecc592879	chr7	67894756	68273255	Brain
ecc592880	chr7	73564114	73820788	Brain
ecc592881	chr7	75217045	75699936	Brain
ecc592882	chr7	75287045	75699935	Brain
ecc592883	chr7	80250625	80897964	Brain
ecc592884	chr7	88470001	88668923	Brain
ecc592885	chr7	91378814	93967491	Brain
ecc592886	chr7	91378817	93967491	Brain
ecc592887	chr7	91591064	94810434	Brain
ecc592888	chr7	91643149	92625840	Brain
ecc592889	chr7	94022783	94297472	Brain
ecc592890	chr7	99353983	100999083	Brain
ecc592891	chr7	101688427	101688960	Brain
ecc592892	chr7	105599700	121570400	Brain
ecc592893	chr7	107598445	121504055	Brain
ecc592894	chr7	115034520	123218793	Brain
ecc592895	chr7	115721215	115921714	Brain
ecc592896	chr7	116204659	116608749	Brain
ecc592897	chr7	116204659	116624503	Brain
ecc592898	chr7	116204659	116625155	Brain
ecc592899	chr7	116204663	116608749	Brain
ecc592900	chr7	116210033	116616296	Brain
ecc592901	chr7	116210033	116617296	Brain
ecc592902	chr7	116292907	116527354	Brain
ecc592903	chr7	116292908	116527353	Brain
ecc592904	chr7	118938862	118959361	Brain
ecc592905	chr7	118938873	118959366	Brain
ecc592906	chr7	126909994	130680174	Brain
ecc592907	chr7	145012779	145053275	Brain
ecc592908	chr7	145073024	145073521	Brain
ecc592909	chr7	145540657	146013736	Brain
ecc592910	chr7	145542807	146013736	Brain
ecc592911	chr7	146062245	146101861	Brain
ecc592913	chr8	80513281	92980359	Brain
ecc592914	chr8	93859282	114607122	Brain
ecc592915	chr8	105882036	105882526	Brain
ecc592916	chr8	115362976	115363481	Brain
ecc592917	chr8	115362979	115363483	Brain
ecc592918	chr8	115362987	115363479	Brain
ecc592919	chr8	115363009	115363483	Brain
ecc592920	chr8	115363018	115363483	Brain
ecc592921	chr8	126238838	132308654	Brain
ecc592922	chr8	126581168	126601667	Brain
ecc592923	chr8	127009013	132643908	Brain
ecc592924	chr8	127137778	131068628	Brain
ecc592925	chr8	127210847	133305515	Brain
ecc592926	chr8	127398869	132765370	Brain
ecc592927	chr8	127399968	132519689	Brain
ecc592928	chr8	127442805	132832068	Brain
ecc592929	chr8	127442805	132833866	Brain
ecc592930	chr8	127442805	133327046	Brain
ecc592931	chr8	127493240	131068628	Brain
ecc592932	chr8	127493240	131484371	Brain
ecc592933	chr8	127637213	131119347	Brain
ecc592934	chr8	127921175	129579202	Brain
ecc592935	chr8	128042384	136223087	Brain
ecc592936	chr8	128139101	135642780	Brain
ecc592937	chr8	135082366	135082849	Brain
ecc592938	chr8	135105698	135663156	Brain
ecc592939	chr8	135105698	135699519	Brain
ecc592940	chr8	135119160	136243156	Brain
ecc592941	chr9	11029911	15061738	Brain
ecc592942	chr9	12935582	20346591	Brain
ecc592943	chr9	18190662	38267761	Brain
ecc592944	chr9	19225169	34666143	Brain
ecc592945	chrX	3105412	14057531	Brain
ecc592946	chrX	7505820	7506344	Brain
ecc592947	chrX	11692735	11693266	Brain
ecc592948	chrX	11692808	11693308	Brain
ecc592949	chrX	11933205	11973678	Brain
ecc592950	chrX	14827449	14827953	Brain
ecc592951	chrX	14827449	14827954	Brain
ecc592952	chrX	14827462	14827954	Brain
ecc592953	chrX	14827480	14827954	Brain
ecc592954	chrX	14827487	14827952	Brain
ecc592955	chrX	17239607	17240131	Brain
ecc592956	chrX	19429616	24808631	Brain
ecc592957	chrX	20863666	20864171	Brain
ecc592958	chrX	23578849	23579373	Brain
ecc592959	chrX	23578881	23579364	Brain
ecc592960	chrX	26704172	26704676	Brain
ecc592961	chrX	30639531	30640031	Brain
ecc592962	chrX	32024870	32025375	Brain
ecc592963	chrX	32024883	32025375	Brain
ecc592964	chrX	32024901	32025375	Brain
ecc592965	chrX	32024910	32025375	Brain
ecc592966	chrX	53177860	53178325	Brain
ecc592967	chrX	53934948	53935466	Brain
ecc592968	chrX	54008997	54237966	Brain
ecc592969	chrX	54907463	54907968	Brain
ecc592970	chrX	55860508	55860982	Brain
ecc592971	chrX	72338778	72339302	Brain
ecc592972	chrX	73257213	73257737	Brain
ecc592973	chrX	73314676	73315141	Brain
ecc592974	chrX	76062796	76063300	Brain
ecc592975	chrX	76062808	76063300	Brain
ecc592976	chrX	76062821	76063295	Brain
ecc592977	chrX	76062835	76063300	Brain
ecc592978	chrX	77334378	77334883	Brain
ecc592979	chrX	77334379	77334883	Brain
ecc592980	chrX	77334391	77334883	Brain
ecc592981	chrX	77334409	77334883	Brain
ecc592982	chrX	77334418	77334883	Brain
ecc592983	chrX	78284470	78304943	Brain
ecc592984	chrX	78466337	78466845	Brain
ecc592985	chrX	79182449	79182954	Brain
ecc592986	chrX	79182453	79182957	Brain
ecc592987	chrX	79182464	79182956	Brain
ecc592988	chrX	79182478	79182952	Brain
ecc592989	chrX	79182492	79182957	Brain
ecc592990	chrX	84073018	84073515	Brain
ecc592991	chrX	85022600	85023074	Brain
ecc592992	chrX	106072756	106073253	Brain
ecc592993	chrX	107240015	107240575	Brain
ecc592994	chrX	111473619	111474116	Brain
ecc592995	chrX	116866132	116866662	Brain
ecc592996	chrX	116866170	116866660	Brain
ecc592997	chrX	124484644	124485162	Brain
ecc592998	chrX	131541642	131542166	Brain
ecc592999	chrX	133253100	133253601	Brain
ecc593000	chrX	133253122	133253599	Brain
ecc593001	chrX	154748217	154748715	Brain
ecc593002	chrX	154779218	154779710	Brain
ecc593003	chrY	2844748	2845272	Brain
ecc593004	chrY	6593783	10008597	Brain
ecc593005	chrY	6618334	28783837	Brain
ecc593006	chrY	13984528	25333853	Brain
ecc593007	chrY	14481730	26079061	Brain
ecc593008	chrY	15291171	15291695	Brain
ecc593009	chrY	16497866	16498390	Brain
ecc593010	chrY	18473310	18473807	Brain
ecc593011	chrY	58872710	59072984	Brain
ecc594873	chr1	695666	716261	Esophagus
ecc594874	chr1	1193163	1193631	Esophagus
ecc594875	chr1	1259208	1459727	Uterine Corpus Endometrial
ecc594876	chr1	2022154	2390081	Stomach
ecc594877	chr1	6027724	7159639	Esophagus
ecc594878	chr1	6772112	12619985	Pancreatic
ecc594879	chr1	7983900	8184324	Bladder
ecc594880	chr1	8882186	10508136	Ovary
ecc594881	chr1	9049646	9260120	Esophagus
ecc594882	chr1	9958395	11333238	Stomach
ecc594883	chr1	10440297	11210278	Stomach
ecc594884	chr1	10458973	11046928	Esophagus
ecc594885	chr1	10670875	10671478	Skin
ecc594886	chr1	10870892	10881609	Stomach
ecc594887	chr1	11362379	11362906	Lung
ecc594888	chr1	11436535	11952212	Esophagus
ecc594889	chr1	11754100	15799427	Brain
ecc594890	chr1	11886955	11887509	Bladder
ecc594891	chr1	11957767	11958351	Esophagus
ecc594892	chr1	13525425	13546065	Ovary
ecc594893	chr1	13724100	14321304	Ovary
ecc594894	chr1	13792500	21068775	Prostate
ecc594895	chr1	15699326	15728696	Esophagus
ecc594896	chr1	15763586	15782310	Uterine Corpus Endometrial
ecc594897	chr1	15806113	16786168	Uterine Corpus Endometrial
ecc594898	chr1	16007866	16008301	Bladder
ecc594899	chr1	16152995	16688083	Stomach
ecc594900	chr1	16411224	16411820	Esophagus
ecc594901	chr1	16844253	16844736	Breast
ecc594902	chr1	17214157	17234639	Breast
ecc594903	chr1	17449191	21980150	Esophagus
ecc594904	chr1	18846149	24156657	Stomach
ecc594905	chr1	20403182	25258705	Bladder
ecc594906	chr1	21998155	22028646	Esophagus
ecc594907	chr1	22414654	25874082	Skin
ecc594908	chr1	25176785	25177370	Brain
ecc594909	chr1	26635794	27271262	Uterine Corpus Endometrial
ecc594910	chr1	27376041	47455694	Pancreatic
ecc594911	chr1	27472525	27672960	Uterine Corpus Endometrial
ecc594912	chr1	28515179	28515649	Stomach
ecc594913	chr1	29382396	40963710	Ovary
ecc594914	chr1	30392886	30532590	Breast
ecc594915	chr1	30767184	30767761	Esophagus
ecc594916	chr1	30767246	30767760	Lung
ecc594917	chr1	31037172	31487743	Uterine Corpus Endometrial
ecc594918	chr1	31127942	31148448	Esophagus
ecc594919	chr1	32346140	32546610	Stomach
ecc594920	chr1	32653787	32674226	Bladder
ecc594921	chr1	32783142	46901047	Lung
ecc594922	chr1	33478358	33478999	Ovary
ecc594923	chr1	33552710	65960008	Pancreatic
ecc594924	chr1	34647198	44152754	Ovary
ecc594925	chr1	36797834	41961045	Lung
ecc594926	chr1	37708221	40644293	Lung
ecc594927	chr1	38763603	44243567	Esophagus
ecc594928	chr1	38902444	42688486	Stomach
ecc594929	chr1	39211353	41291973	Bladder
ecc594930	chr1	39655746	41091463	Lung
ecc594931	chr1	39716875	39880322	Breast
ecc594932	chr1	40013482	40416849	Lung
ecc594933	chr1	40157286	40837481	Esophagus
ecc594934	chr1	40975788	62781973	Ovary
ecc594935	chr1	43210328	43210994	Colon
ecc594936	chr1	43860716	44299010	Lung
ecc594937	chr1	44538442	44538948	Head and Neck
ecc594938	chr1	45286341	45286868	Lung
ecc594939	chr1	46837753	46838234	Lung
ecc594940	chr1	47803799	47804266	Uvea
ecc594941	chr1	48582785	48783245	Esophagus
ecc594942	chr1	48687448	48687873	Bladder
ecc594943	chr1	49894962	49942028	Breast
ecc594944	chr1	52502706	52503222	Lung
ecc594945	chr1	53262546	53263136	Esophagus
ecc594946	chr1	54354897	54555404	Stomach
ecc594947	chr1	54669267	54669775	Stomach
ecc594948	chr1	55024061	55024681	Uterine Corpus Endometrial
ecc594949	chr1	57525528	61957753	Connective tissue
ecc594950	chr1	58458590	58459026	Stomach
ecc594951	chr1	58879932	59784978	Prostate
ecc594952	chr1	59096224	59096865	Ovary
ecc594953	chr1	60532603	62631489	Esophagus
ecc594954	chr1	60652451	60869298	Breast
ecc594955	chr1	61098354	62202602	Bladder
ecc594956	chr1	61161791	63011786	Uterine Corpus Endometrial
ecc594957	chr1	61852110	61872637	Esophagus
ecc594958	chr1	62222161	62222771	Connective tissue
